timestamp,kalman.varZ,kalman.varPX,kalman.varPY,kalman.varPZ,kalman.varD0,kalman.varD1
2153550,1.0987095038217376e-06,0.00011594827083172277,0.00011594398529268801,0.00021630289847962558,1.037359925248893e-05,1.0378979823144618e-05
2153650,1.000017050500901e-06,0.00011659939627861604,0.0001186312802019529,0.0002006505528697744,1.0267571269650944e-05,1.0234353794658091e-05
2153750,1.0000809425037005e-06,0.0001210750633617863,0.0001225958694703877,0.00022041490592528135,1.033414537232602e-05,1.031109150062548e-05
2153850,1.000017050500901e-06,0.00011131186329293996,0.00011243026528973132,0.0002110149507643655,1.01261684903875e-05,1.010963023873046e-05
2153950,1.000017050500901e-06,0.00011565416207304224,0.00011677797738229856,0.00020715821301564574,1.0188811756961513e-05,1.0171854228246957e-05
2154050,1.000017050500901e-06,0.00011266429646639153,0.00011367680417606607,0.00021547451615333557,1.0164952982449904e-05,1.0149617082788609e-05
2154150,1.000017050500901e-06,0.00012303593393880874,0.00012423156294971704,0.00021748096332885325,1.0455725714564323e-05,1.0437474884383846e-05
2154250,1.0000809425037005e-06,0.00010072943405248225,0.00010211287008132786,0.00020865084661636502,1.0097674021380953e-05,1.0077365914185066e-05
2154350,1.000017050500901e-06,0.00011153204832226038,0.00011355485185049474,0.00021330841991584748,1.0425292202853598e-05,1.0396537618362345e-05
2154450,1.0000809425037005e-06,0.00010069039853988215,0.00010292755177943036,0.0002151739172404632,1.0291945727658458e-05,1.0256359018967487e-05
2154550,1.000017050500901e-06,0.00011548979091458023,0.00011706396617228165,0.00021805537107866257,1.0748921340564266e-05,1.0727923836384434e-05
2154650,1.082700805454806e-06,0.00011282255582045764,0.00011275291035417467,0.00022645476565230638,1.0685081178962719e-05,1.0695345736166928e-05
2154750,1.1194439366590814e-06,0.00010221412958344445,0.0001072123195626773,0.00019933553994633257,1.0487215149623808e-05,1.0402189218439162e-05
2154850,1.2372233868518379e-06,0.00010545347322477028,0.00010980106890201569,0.00020171589858364314,1.0569210644462146e-05,1.0498719348106533e-05
2154950,1.9611154584708856e-06,9.299571684096009e-05,0.00010177258809562773,0.00017460591334383935,1.0326091796741821e-05,1.0143341569346376e-05
2155050,2.617706059027114e-06,8.711155533092096e-05,0.00010146405838895589,0.00017804763047024608,9.956956091627944e-06,9.81397806754103e-06
2155150,1.8880369907492422e-06,6.381743878591806e-05,7.798153819749132e-05,0.00016774456889834255,8.952059943112545e-06,8.940579391492065e-06
2155250,1.0000160273193615e-06,8.84721230249852e-05,9.092083928408101e-05,0.00013520133506972343,8.947309652285185e-06,9.077490176423453e-06
2155350,1.0000160273193615e-06,0.00011286103836027905,0.00011683750926749781,0.00017602431762497872,9.277867320633959e-06,9.215920727001503e-06
2155450,1.000017050500901e-06,0.00014298144378699362,0.00014701408508699387,0.00020966623560525477,9.681458323029801e-06,9.576301636116114e-06
