timestamp,ext_pos.X,ext_pos.Y,ext_pos.Z
1975950,0.0,0.0,0.0
1976050,0.0,0.0,0.0
1976150,0.0,0.0,0.0
1976250,0.0,0.0,0.0
1976350,0.0,0.0,0.0
1976450,0.0,0.0,0.0
1976550,0.0,0.0,0.0
1976650,0.0,0.0,0.0
1976750,0.0,0.0,0.0
1976850,0.0,0.0,0.0
1976950,0.0,0.0,0.0
1977050,0.0,0.0,0.0
1977150,0.0,0.0,0.0
1977250,0.0,0.0,0.0
1977350,0.0,0.0,0.0
1977450,0.0,0.0,0.0
1977550,0.0,0.0,0.0
1977650,0.0,0.0,0.0
1977750,0.0,0.0,0.0
1977850,0.0,0.0,0.0
1977950,0.0,0.0,0.0
1978050,0.0,0.0,0.0
1978150,0.0,0.0,0.0
1978250,0.0,0.0,0.0
1978350,0.0,0.0,0.0
1978450,0.0,0.0,0.0
1978550,0.0,0.0,0.0
1978650,0.0,0.0,0.0
1978750,0.0,0.0,0.0
1978850,0.0,0.0,0.0
1978950,0.0,0.0,0.0
1979050,0.0,0.0,0.0
1979150,0.0,0.0,0.0
1979250,0.0,0.0,0.0
1979350,0.0,0.0,0.0
1979450,0.0,0.0,0.0
1979550,0.0,0.0,0.0
1979650,0.0,0.0,0.0
1979750,0.0,0.0,0.0
1979853,0.0,0.0,0.0
1979953,0.0,0.0,0.0
1980053,0.0,0.0,0.0
1980152,0.0,0.0,0.0
1980252,0.0,0.0,0.0
1980352,0.0,0.0,0.0
1980450,0.0,0.0,0.0
1980550,0.0,0.0,0.0
1980650,0.0,0.0,0.0
1980750,0.0,0.0,0.0
1980850,0.0,0.0,0.0
1980950,0.0,0.0,0.0
1981050,0.0,0.0,0.0
1981150,0.0,0.0,0.0
1981250,0.0,0.0,0.0
1981350,0.0,0.0,0.0
1981450,0.0,0.0,0.0
1981550,0.0,0.0,0.0
1981650,0.0,0.0,0.0
1981750,0.0,0.0,0.0
1981850,0.0,0.0,0.0
1981950,0.0,0.0,0.0
1982050,0.0,0.0,0.0
1982150,0.0,0.0,0.0
1982250,0.0,0.0,0.0
1982350,0.0,0.0,0.0
1982450,0.0,0.0,0.0
1982550,0.0,0.0,0.0
1982650,0.0,0.0,0.0
1982750,0.0,0.0,0.0
1982850,0.0,0.0,0.0
1982950,0.0,0.0,0.0
1983050,0.0,0.0,0.0
1983150,0.0,0.0,0.0
1983250,0.0,0.0,0.0
1983350,0.0,0.0,0.0
1983450,0.0,0.0,0.0
1983550,0.0,0.0,0.0
1983650,0.0,0.0,0.0
1983750,0.0,0.0,0.0
1983850,0.0,0.0,0.0
1983950,0.0,0.0,0.0
1984050,0.0,0.0,0.0
1984150,0.0,0.0,0.0
1984250,0.0,0.0,0.0
1984350,0.0,0.0,0.0
1984450,0.0,0.0,0.0
1984550,0.0,0.0,0.0
1984650,0.0,0.0,0.0
1984750,0.0,0.0,0.0
1984850,0.0,0.0,0.0
1984950,0.0,0.0,0.0
