timestamp,stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,stateEstimateZ.vx,stateEstimateZ.vy,stateEstimateZ.vz
308317,22,31,1,-13,4,1
308417,22,30,1,-6,-8,0
308517,22,30,1,-3,-6,0
308617,21,31,1,-16,1,0
308717,22,30,1,-13,-10,1
308817,22,30,1,-5,-2,3
308917,22,31,1,12,22,-1
309017,22,31,1,-7,31,-1
309117,22,31,1,0,15,0
309217,22,31,1,-2,12,0
309317,22,31,1,6,23,1
309417,22,31,1,28,57,0
309517,24,31,1,105,36,-2
309617,24,32,3,161,20,53
309717,21,31,12,35,-30,140
309817,9,28,31,-53,17,288
309917,-9,21,69,-63,-62,444
310019,-30,15,123,-8,-24,556
310117,-50,9,175,8,-12,615
310219,-66,8,242,23,-3,611
310319,-78,1,291,35,-7,526
310419,-86,-1,344,35,-8,458
310518,-87,-1,383,61,0,355
310618,-81,9,420,99,35,300
310718,-64,14,455,171,43,253
310818,-53,11,456,149,-30,76
310917,-35,19,464,156,-47,84
311018,-14,23,478,165,-38,120
311118,10,30,492,165,-8,129
311218,33,52,516,206,98,156
311318,63,61,530,231,93,79
311417,86,69,534,189,55,6
311517,98,73,528,118,6,-49
311617,104,72,519,66,-37,-66
311717,68,52,498,-75,-147,-47
311818,89,70,493,105,7,42
311918,103,74,492,198,27,73
312018,130,59,493,288,-22,37
312118,163,54,502,353,-58,79
312217,202,46,510,397,-82,82
312317,246,45,516,425,-75,76
312417,291,28,517,444,-93,37
312517,338,19,521,459,-83,26
312617,388,13,519,480,-65,8
312717,441,8,517,508,-41,10
312817,495,5,518,534,-21,42
312917,553,12,519,567,19,38
313017,612,11,517,591,28,24
313117,673,10,518,607,29,41
313217,735,9,518,617,24,40
313317,797,7,520,616,19,49
313417,859,6,527,621,-3,44
313517,919,3,527,611,-17,13
313617,978,2,525,598,-15,0
313717,1034,1,521,570,-11,1
313817,1088,0,510,545,-9,-10
313917,1136,-2,511,505,-5,37
314017,1217,-22,520,563,-41,82
314117,1269,-23,529,510,-10,72
314217,1314,-22,537,431,15,57
314317,1352,-21,544,352,27,43
314417,1328,-33,592,86,4,177
314517,1353,-30,591,122,31,-40
314617,1382,-25,574,181,50,-170
314717,1417,-18,545,232,54,-217
314817,1455,-13,533,248,40,-107
314917,1493,-9,530,251,50,-22
315017,1529,-7,533,247,26,41
315117,1563,-9,525,221,-18,-52
315217,1583,-7,533,131,-15,4
315317,1594,-10,537,46,-25,21
315417,1595,-12,536,-32,-27,15
315517,1590,-13,526,-97,-27,-53
315617,1576,-13,522,-129,-18,-60
315717,1558,-13,512,-154,-7,-134
315817,1541,-9,482,-150,7,-331
315917,1521,3,439,-140,40,-511
316017,1501,20,345,-121,62,-858
316117,1507,8,285,58,-80,-669
316217,1528,11,231,148,-30,-513
316317,1506,4,190,-66,-34,-574
316417,1471,5,125,-141,26,-1055
316517,1473,7,57,53,160,-353
316617,1476,3,55,-94,174,-170
316717,1473,2,67,-80,136,-16
316817,1474,2,65,-73,114,-30
316917,1474,0,68,3,-4,3
317017,1474,0,70,4,-16,16
317117,1475,0,64,-2,1,-30
317219,1471,3,69,8,-35,15
317319,1472,2,71,-2,-29,25
317419,1475,0,64,-12,-41,-22
317519,1471,3,68,-6,-22,7
317618,1474,0,69,0,-13,6
317718,1475,0,63,0,-9,-32
317818,1474,0,67,-1,-17,-9
317918,1472,2,70,-4,-8,9
318017,1475,1,62,0,-1,-37
318117,1475,0,66,2,0,-10
318217,1474,0,68,4,-25,0
318317,1472,2,71,3,-19,23
318417,1475,0,65,3,-10,-23
318517,1474,0,68,11,-5,3
318617,1472,2,71,-2,2,23
318717,1471,4,65,4,1,-20
318817,1471,3,68,5,-18,5
318917,1472,2,71,0,-7,21
319017,1471,4,64,5,12,-44
319117,1471,4,66,21,-1,-26
319217,1471,3,69,0,5,-5
319317,1471,5,63,2,0,-43
319417,1471,4,67,0,1,-18
319517,1471,3,69,2,-1,3
319617,1471,5,63,-5,4,-46
319717,1471,4,66,-7,16,-28
319817,1471,3,68,-3,5,-3
319917,1472,2,71,2,0,21
320017,1471,4,65,2,-8,-26
320117,1471,3,67,5,-4,-8
320217,1472,3,70,0,-1,7
320317,1471,4,64,-2,1,-38
320417,1471,3,67,5,-6,-7
320517,1472,3,70,5,-1,1
320617,1471,5,63,6,-1,-41
320717,1471,3,66,19,-16,-11
320817,1472,3,69,30,-31,-2
320917,1472,2,70,40,-41,19
321017,1471,3,66,36,-38,-9
321117,1472,3,68,40,-50,3
321217,1472,2,70,40,-48,21
321317,1472,3,65,48,-47,-20
321417,1472,3,68,45,-43,3
321517,1468,10,37,33,-49,-160
321617,1463,19,3,-13,-10,-132
321717,1469,7,18,-33,-38,111
321817,1517,3,81,138,-22,317
321917,1494,-15,108,-66,-49,119
322017,1453,-7,154,-172,-7,136
322117,1445,-8,150,-129,12,8
322217,1441,-4,135,-28,30,-7
322317,1445,-3,146,35,42,173
322417,1452,-1,177,61,62,379
322517,1462,-1,224,67,14,494
322617,1471,0,268,60,18,480
322717,1480,-1,324,49,18,499
322817,1488,-3,371,33,22,421
322917,1490,0,396,10,27,245
323017,1486,11,389,-25,52,19
323117,1483,17,395,-39,43,116
323217,1542,-16,468,294,-145,417
323317,1529,-31,512,1,-96,317
323417,1502,-26,545,-188,-38,183
323517,1448,-11,596,-336,31,237
323617,1427,-2,584,-282,85,-90
323717,1407,19,532,-182,130,-401
323817,1400,36,487,-38,116,-308
323917,1456,4,518,407,-175,124
324017,1512,8,526,477,-90,141
324117,1463,-14,589,-74,-88,260
324217,1456,-17,598,-253,-3,97
324317,1438,-21,593,-264,41,-116
324417,1420,-24,569,-244,38,-225
324517,1402,-27,547,-222,35,-189
324617,1385,-30,527,-211,31,-117
324717,1365,-34,522,-224,27,-23
324817,1342,-38,525,-257,24,33
324917,1315,-41,519,-298,64,-24
325017,1279,-44,521,-374,42,-4
325117,1237,-48,522,-454,37,-9
325219,1188,-49,512,-499,36,-51
325317,1129,-29,499,-547,80,-84
325417,1075,-23,487,-573,73,-46
325517,1032,-49,493,-567,-42,58
325619,936,-54,536,-764,4,233
325719,863,-49,552,-778,48,122
325819,793,-41,550,-744,88,-25
325919,731,-29,540,-687,129,-79
326018,674,-9,533,-616,236,-20
326118,618,-3,521,-554,261,4
326218,575,-12,511,-523,232,-2
326318,529,-22,499,-515,193,17
326418,482,-43,489,-521,159,-8
326518,434,-73,478,-532,136,12
326617,381,-114,480,-548,-34,51
326717,332,-153,476,-545,-117,69
326817,283,-186,478,-526,-107,78
326917,235,-207,487,-500,-29,90
327017,195,-209,488,-452,95,90
327117,159,-196,492,-397,218,80
327217,126,-170,501,-345,309,100
327317,101,-125,507,-274,377,85
327417,77,-98,500,-228,344,8
327517,58,-64,499,-197,304,29
327617,40,-24,508,-174,280,72
327717,28,0,519,-117,205,116
327817,13,8,506,-117,97,0
327917,3,17,508,-90,41,32
328017,-4,21,509,-76,4,56
328117,-11,23,510,-58,-7,49
328217,-14,23,514,-36,-7,47
328317,-17,24,510,-26,-11,-25
328417,-17,24,497,-12,-17,-168
328517,-15,24,470,-5,-8,-338
328617,-10,24,428,10,-8,-528
328717,-6,25,364,11,-2,-677
328817,0,26,292,10,-13,-746
328917,5,26,221,10,-12,-683
329017,12,25,152,23,8,-806
329117,17,26,40,62,82,-1377
329217,17,32,9,76,101,-556
329317,26,40,5,-35,15,-316
329417,20,27,13,-145,-114,-439
329517,4,18,-2,-322,35,-205
329617,7,15,0,-135,49,-30
329717,7,15,0,-71,-29,-15
329817,7,15,0,-44,-27,-4
329917,8,15,0,-25,-11,0
