timestamp,health.motorVarXM4,health.motorVarYM4,health.motorPass,health.batterySag,health.batteryPass,health.motorTestCount
2153543,0.0,0.0,0,0.0,0,0
2153643,0.0,0.0,0,0.0,0,0
2153743,0.0,0.0,0,0.0,0,0
2153843,0.0,0.0,0,0.0,0,0
2153943,0.0,0.0,0,0.0,0,0
2154043,0.0,0.0,0,0.0,0,0
2154143,0.0,0.0,0,0.0,0,0
2154243,0.0,0.0,0,0.0,0,0
2154343,0.0,0.0,0,0.0,0,0
2154443,0.0,0.0,0,0.0,0,0
2154543,0.0,0.0,0,0.0,0,0
2154643,0.0,0.0,0,0.0,0,0
2154743,0.0,0.0,0,0.0,0,0
2154843,0.0,0.0,0,0.0,0,0
2154943,0.0,0.0,0,0.0,0,0
2155043,0.0,0.0,0,0.0,0,0
2155143,0.0,0.0,0,0.0,0,0
2155243,0.0,0.0,0,0.0,0,0
2155343,0.0,0.0,0,0.0,0,0
2155443,0.0,0.0,0,0.0,0,0
2155543,0.0,0.0,0,0.0,0,0
2155643,0.0,0.0,0,0.0,0,0
2155743,0.0,0.0,0,0.0,0,0
2155843,0.0,0.0,0,0.0,0,0
2155943,0.0,0.0,0,0.0,0,0
2156043,0.0,0.0,0,0.0,0,0
2156143,0.0,0.0,0,0.0,0,0
2156243,0.0,0.0,0,0.0,0,0
2156343,0.0,0.0,0,0.0,0,0
2156443,0.0,0.0,0,0.0,0,0
2156543,0.0,0.0,0,0.0,0,0
2156643,0.0,0.0,0,0.0,0,0
2156743,0.0,0.0,0,0.0,0,0
2156843,0.0,0.0,0,0.0,0,0
2156943,0.0,0.0,0,0.0,0,0
2157043,0.0,0.0,0,0.0,0,0
2157143,0.0,0.0,0,0.0,0,0
2157243,0.0,0.0,0,0.0,0,0
2157343,0.0,0.0,0,0.0,0,0
2157443,0.0,0.0,0,0.0,0,0
2157543,0.0,0.0,0,0.0,0,0
2157645,0.0,0.0,0,0.0,0,0
2157744,0.0,0.0,0,0.0,0,0
2157845,0.0,0.0,0,0.0,0,0
2157945,0.0,0.0,0,0.0,0,0
2158044,0.0,0.0,0,0.0,0,0
2158144,0.0,0.0,0,0.0,0,0
