timestamp,activeMarker.btSns,activeMarker.i2cOk
1975904,0,0
1976004,0,0
1976104,0,0
1976204,0,0
1976304,0,0
1976403,0,0
1976502,0,0
1976603,0,0
1976703,0,0
1976802,0,0
1976902,0,0
1977003,0,0
1977102,0,0
1977202,0,0
1977305,0,0
1977405,0,0
1977505,0,0
1977602,0,0
1977704,0,0
1977804,0,0
1977904,0,0
1978002,0,0
1978104,0,0
1978202,0,0
1978304,0,0
1978404,0,0
1978503,0,0
1978603,0,0
1978703,0,0
1978803,0,0
1978902,0,0
1979003,0,0
1979103,0,0
1979203,0,0
1979303,0,0
1979402,0,0
1979503,0,0
1979602,0,0
1979702,0,0
1979802,0,0
1979903,0,0
1980002,0,0
1980103,0,0
1980202,0,0
1980303,0,0
1980402,0,0
1980502,0,0
1980602,0,0
1980702,0,0
1980802,0,0
1980902,0,0
1981002,0,0
1981102,0,0
1981202,0,0
1981302,0,0
1981402,0,0
1981502,0,0
1981602,0,0
1981702,0,0
1981802,0,0
1981902,0,0
1982002,0,0
1982102,0,0
1982202,0,0
1982302,0,0
1982402,0,0
1982502,0,0
1982602,0,0
1982702,0,0
1982802,0,0
1982902,0,0
1983002,0,0
1983102,0,0
1983202,0,0
1983302,0,0
1983402,0,0
1983502,0,0
1983602,0,0
1983702,0,0
1983802,0,0
1983902,0,0
1984002,0,0
1984102,0,0
1984202,0,0
1984302,0,0
1984402,0,0
1984503,0,0
1984602,0,0
1984702,0,0
1984802,0,0
1984902,0,0
1985003,0,0
1985105,0,0
1985202,0,0
1985302,0,0
1985402,0,0
1985502,0,0
1985602,0,0
1985702,0,0
1985802,0,0
1985902,0,0
1986002,0,0
1986102,0,0
1986202,0,0
1986302,0,0
1986402,0,0
1986502,0,0
1986602,0,0
1986702,0,0
1986802,0,0
1986902,0,0
1987002,0,0
1987102,0,0
1987202,0,0
1987302,0,0
1987402,0,0
1987502,0,0
1987602,0,0
1987702,0,0
1987802,0,0
1987902,0,0
1988002,0,0
1988102,0,0
1988202,0,0
1988302,0,0
1988402,0,0
1988502,0,0
1988602,0,0
1988702,0,0
1988802,0,0
1988902,0,0
1989002,0,0
1989102,0,0
1989202,0,0
1989302,0,0
1989402,0,0
1989502,0,0
1989602,0,0
1989702,0,0
1989802,0,0
1989902,0,0
1990002,0,0
1990102,0,0
1990202,0,0
1990302,0,0
1990405,0,0
1990505,0,0
1990604,0,0
1990704,0,0
1990804,0,0
1990904,0,0
1991004,0,0
1991104,0,0
1991203,0,0
1991303,0,0
1991403,0,0
1991503,0,0
1991603,0,0
1991703,0,0
1991803,0,0
1991902,0,0
1992002,0,0
1992102,0,0
1992202,0,0
1992302,0,0
1992402,0,0
1992502,0,0
1992602,0,0
1992702,0,0
1992804,0,0
1992904,0,0
1993002,0,0
1993102,0,0
1993202,0,0
1993304,0,0
1993404,0,0
1993504,0,0
1993604,0,0
1993705,0,0
1993802,0,0
1993902,0,0
1994002,0,0
1994102,0,0
1994204,0,0
1994304,0,0
1994404,0,0
1994504,0,0
1994602,0,0
1994702,0,0
1994802,0,0
1994903,0,0
1995003,0,0
1995103,0,0
1995203,0,0
1995303,0,0
1995403,0,0
1995503,0,0
1995603,0,0
1995703,0,0
1995802,0,0
1995903,0,0
1996003,0,0
1996102,0,0
1996202,0,0
1996302,0,0
1996402,0,0
1996502,0,0
1996602,0,0
1996702,0,0
1996802,0,0
1996902,0,0
1997002,0,0
1997102,0,0
1997202,0,0
1997302,0,0
1997402,0,0
1997502,0,0
