timestamp,ring.fadeTime
308273,0.5
308373,0.5
308473,0.5
308573,0.5
308673,0.5
308773,0.5
308873,0.5
308973,0.5
309073,0.5
309173,0.5
309273,0.5
309373,0.5
309473,0.5
309573,0.5
309673,0.5
309773,0.5
309873,0.5
309973,0.5
310073,0.5
310173,0.5
310273,0.5
310373,0.5
310473,0.5
310573,0.5
310673,0.5
310773,0.5
310873,0.5
310973,0.5
311073,0.5
311173,0.5
311273,0.5
311373,0.5
311473,0.5
311573,0.5
311673,0.5
311773,0.5
311873,0.5
311973,0.5
312073,0.5
312173,0.5
312273,0.5
312373,0.5
312473,0.5
312573,0.5
312673,0.5
312773,0.5
312873,0.5
312973,0.5
313073,0.5
313173,0.5
313273,0.5
313375,0.5
313473,0.5
313573,0.5
313673,0.5
313773,0.5
313873,0.5
313973,0.5
314073,0.5
314173,0.5
314273,0.5
314375,0.5
314473,0.5
314574,0.5
314674,0.5
314774,0.5
314873,0.5
314973,0.5
315073,0.5
315173,0.5
315273,0.5
315373,0.5
315473,0.5
315573,0.5
315673,0.5
315773,0.5
315873,0.5
315973,0.5
316073,0.5
316173,0.5
316273,0.5
316373,0.5
316473,0.5
316573,0.5
316673,0.5
316773,0.5
316873,0.5
316973,0.5
317073,0.5
317173,0.5
317273,0.5
317373,0.5
317473,0.5
317573,0.5
317673,0.5
317773,0.5
317873,0.5
317973,0.5
318073,0.5
318173,0.5
318273,0.5
318373,0.5
318473,0.5
318573,0.5
318673,0.5
318775,0.5
318875,0.5
318975,0.5
319075,0.5
319175,0.5
319275,0.5
319375,0.5
319474,0.5
319574,0.5
319674,0.5
319774,0.5
319874,0.5
319973,0.5
320073,0.5
320173,0.5
320273,0.5
320373,0.5
320473,0.5
320573,0.5
320673,0.5
320773,0.5
320873,0.5
320973,0.5
321073,0.5
321173,0.5
321273,0.5
321373,0.5
321475,0.5
321574,0.5
321673,0.5
321773,0.5
321873,0.5
321973,0.5
322073,0.5
322173,0.5
322273,0.5
322373,0.5
322473,0.5
322573,0.5
322673,0.5
322773,0.5
322873,0.5
322973,0.5
323073,0.5
323173,0.5
323273,0.5
323373,0.5
323473,0.5
323573,0.5
323673,0.5
323773,0.5
323873,0.5
323973,0.5
324073,0.5
324173,0.5
324273,0.5
324373,0.5
324473,0.5
324573,0.5
324673,0.5
324773,0.5
324873,0.5
324973,0.5
325073,0.5
325173,0.5
325273,0.5
325373,0.5
325473,0.5
325573,0.5
325673,0.5
325773,0.5
325873,0.5
325973,0.5
326073,0.5
326173,0.5
326273,0.5
326373,0.5
326473,0.5
326573,0.5
326673,0.5
326773,0.5
326873,0.5
326973,0.5
327073,0.5
327173,0.5
327273,0.5
327373,0.5
327473,0.5
327573,0.5
327673,0.5
327773,0.5
327873,0.5
327975,0.5
328075,0.5
328175,0.5
328275,0.5
328375,0.5
328474,0.5
328575,0.5
328674,0.5
328774,0.5
328874,0.5
328974,0.5
329074,0.5
329174,0.5
329273,0.5
329373,0.5
329473,0.5
329573,0.5
329673,0.5
329773,0.5
329873,0.5
