timestamp,ctrlMel.i_err_y,ctrlMel.i_err_z
1975935,0.0,0.0
1976035,0.0,0.0
1976135,0.0,0.0
1976235,0.0,0.0
1976335,0.0,0.0
1976435,0.0,0.0
1976535,0.0,0.0
1976635,0.0,0.0
1976735,0.0,0.0
1976835,0.0,0.0
1976935,0.0,0.0
1977035,0.0,0.0
1977135,0.0,0.0
1977235,0.0,0.0
1977335,0.0,0.0
1977435,0.0,0.0
1977535,0.0,0.0
1977635,0.0,0.0
1977735,0.0,0.0
1977835,0.0,0.0
1977935,0.0,0.0
1978037,0.0,0.0
1978137,0.0,0.0
1978237,0.0,0.0
1978336,0.0,0.0
1978437,0.0,0.0
1978536,0.0,0.0
1978636,0.0,0.0
1978736,0.0,0.0
1978835,0.0,0.0
1978935,0.0,0.0
1979035,0.0,0.0
1979135,0.0,0.0
1979235,0.0,0.0
1979335,0.0,0.0
1979435,0.0,0.0
1979535,0.0,0.0
1979635,0.0,0.0
1979735,0.0,0.0
1979835,0.0,0.0
1979935,0.0,0.0
1980035,0.0,0.0
1980135,0.0,0.0
1980235,0.0,0.0
1980335,0.0,0.0
1980435,0.0,0.0
1980535,0.0,0.0
1980635,0.0,0.0
1980735,0.0,0.0
1980835,0.0,0.0
1980935,0.0,0.0
1981035,0.0,0.0
1981135,0.0,0.0
1981235,0.0,0.0
1981335,0.0,0.0
1981435,0.0,0.0
1981535,0.0,0.0
1981635,0.0,0.0
1981735,0.0,0.0
1981835,0.0,0.0
1981935,0.0,0.0
1982035,0.0,0.0
1982135,0.0,0.0
1982235,0.0,0.0
1982335,0.0,0.0
1982435,0.0,0.0
1982535,0.0,0.0
1982635,0.0,0.0
1982735,0.0,0.0
1982835,0.0,0.0
1982935,0.0,0.0
1983035,0.0,0.0
1983135,0.0,0.0
1983235,0.0,0.0
1983335,0.0,0.0
1983435,0.0,0.0
1983535,0.0,0.0
1983635,0.0,0.0
1983735,0.0,0.0
1983835,0.0,0.0
1983935,0.0,0.0
1984035,0.0,0.0
1984135,0.0,0.0
1984235,0.0,0.0
1984335,0.0,0.0
1984435,0.0,0.0
1984535,0.0,0.0
1984635,0.0,0.0
1984735,0.0,0.0
1984835,0.0,0.0
1984935,0.0,0.0
1985035,0.0,0.0
1985135,0.0,0.0
1985235,0.0,0.0
1985338,0.0,0.0
1985435,0.0,0.0
1985535,0.0,0.0
1985637,0.0,0.0
1985737,0.0,0.0
1985836,0.0,0.0
1985936,0.0,0.0
1986036,0.0,0.0
1986136,0.0,0.0
1986235,0.0,0.0
1986336,0.0,0.0
1986435,0.0,0.0
1986535,0.0,0.0
1986635,0.0,0.0
1986735,0.0,0.0
1986835,0.0,0.0
1986935,0.0,0.0
1987035,0.0,0.0
1987135,0.0,0.0
1987235,0.0,0.0
1987335,0.0,0.0
1987435,0.0,0.0
1987535,0.0,0.0
1987635,0.0,0.0
1987735,0.0,0.0
1987835,0.0,0.0
1987935,0.0,0.0
1988035,0.0,0.0
1988135,0.0,0.0
1988235,0.0,0.0
1988335,0.0,0.0
1988435,0.0,0.0
1988535,0.0,0.0
1988635,0.0,0.0
1988735,0.0,0.0
1988835,0.0,0.0
1988935,0.0,0.0
1989035,0.0,0.0
1989135,0.0,0.0
1989235,0.0,0.0
1989335,0.0,0.0
1989435,0.0,0.0
1989535,0.0,0.0
1989635,0.0,0.0
1989735,0.0,0.0
1989835,0.0,0.0
1989936,0.0,0.0
1990036,0.0,0.0
1990135,0.0,0.0
1990237,0.0,0.0
1990337,0.0,0.0
1990437,0.0,0.0
1990537,0.0,0.0
1990637,0.0,0.0
1990737,0.0,0.0
1990837,0.0,0.0
1990937,0.0,0.0
1991037,0.0,0.0
1991137,0.0,0.0
1991237,0.0,0.0
1991336,0.0,0.0
1991436,0.0,0.0
1991536,0.0,0.0
1991636,0.0,0.0
1991736,0.0,0.0
1991837,0.0,0.0
1991935,0.0,0.0
1992035,0.0,0.0
1992136,0.0,0.0
1992236,0.0,0.0
1992336,0.0,0.0
1992436,0.0,0.0
1992536,0.0,0.0
1992637,0.0,0.0
1992735,0.0,0.0
1992837,0.0,0.0
1992937,0.0,0.0
1993037,0.0,0.0
1993137,0.0,0.0
1993237,0.0,0.0
1993337,0.0,0.0
1993437,0.0,0.0
1993537,0.0,0.0
1993637,0.0,0.0
1993735,0.0,0.0
1993835,0.0,0.0
1993935,0.0,0.0
1994035,0.0,0.0
1994135,0.0,0.0
1994235,0.0,0.0
1994335,0.0,0.0
1994435,0.0,0.0
1994535,0.0,0.0
1994637,0.0,0.0
1994737,0.0,0.0
1994836,0.0,0.0
1994936,0.0,0.0
1995036,0.0,0.0
1995136,0.0,0.0
1995236,0.0,0.0
1995336,0.0,0.0
1995435,0.0,0.0
1995535,0.0,0.0
1995635,0.0,0.0
1995735,0.0,0.0
1995835,0.0,0.0
1995935,0.0,0.0
1996035,0.0,0.0
1996135,0.0,0.0
1996235,0.0,0.0
1996335,0.0,0.0
1996435,0.0,0.0
1996535,0.0,0.0
1996637,0.0,0.0
1996737,0.0,0.0
1996835,0.0,0.0
1996937,0.0,0.0
1997035,0.0,0.0
1997135,0.0,0.0
1997236,0.0,0.0
1997336,0.0,0.0
1997435,0.0,0.0
1997536,0.0,0.0
