timestamp,mag.x,mag.y,mag.z
131481,0.0,0.0,0.0
131581,0.0,0.0,0.0
131681,0.0,0.0,0.0
131781,0.0,0.0,0.0
131881,0.0,0.0,0.0
131981,0.0,0.0,0.0
132081,0.0,0.0,0.0
132181,0.0,0.0,0.0
132281,0.0,0.0,0.0
132381,0.0,0.0,0.0
132481,0.0,0.0,0.0
132581,0.0,0.0,0.0
132681,0.0,0.0,0.0
132781,0.0,0.0,0.0
132881,0.0,0.0,0.0
132981,0.0,0.0,0.0
133081,0.0,0.0,0.0
133181,0.0,0.0,0.0
133281,0.0,0.0,0.0
133381,0.0,0.0,0.0
133481,0.0,0.0,0.0
133581,0.0,0.0,0.0
133681,0.0,0.0,0.0
133781,0.0,0.0,0.0
133881,0.0,0.0,0.0
133981,0.0,0.0,0.0
134081,0.0,0.0,0.0
134181,0.0,0.0,0.0
134281,0.0,0.0,0.0
134381,0.0,0.0,0.0
134481,0.0,0.0,0.0
134581,0.0,0.0,0.0
134681,0.0,0.0,0.0
134781,0.0,0.0,0.0
134881,0.0,0.0,0.0
134981,0.0,0.0,0.0
135081,0.0,0.0,0.0
135181,0.0,0.0,0.0
135281,0.0,0.0,0.0
135381,0.0,0.0,0.0
135481,0.0,0.0,0.0
135581,0.0,0.0,0.0
135684,0.0,0.0,0.0
135784,0.0,0.0,0.0
135884,0.0,0.0,0.0
135983,0.0,0.0,0.0
136083,0.0,0.0,0.0
136183,0.0,0.0,0.0
136282,0.0,0.0,0.0
136382,0.0,0.0,0.0
136481,0.0,0.0,0.0
136581,0.0,0.0,0.0
136681,0.0,0.0,0.0
136781,0.0,0.0,0.0
136881,0.0,0.0,0.0
136981,0.0,0.0,0.0
137081,0.0,0.0,0.0
137181,0.0,0.0,0.0
137281,0.0,0.0,0.0
137381,0.0,0.0,0.0
137481,0.0,0.0,0.0
137581,0.0,0.0,0.0
137681,0.0,0.0,0.0
137782,0.0,0.0,0.0
137882,0.0,0.0,0.0
137981,0.0,0.0,0.0
138081,0.0,0.0,0.0
138182,0.0,0.0,0.0
138281,0.0,0.0,0.0
138381,0.0,0.0,0.0
138481,0.0,0.0,0.0
138581,0.0,0.0,0.0
138681,0.0,0.0,0.0
138781,0.0,0.0,0.0
138881,0.0,0.0,0.0
138981,0.0,0.0,0.0
139081,0.0,0.0,0.0
139181,0.0,0.0,0.0
139281,0.0,0.0,0.0
139381,0.0,0.0,0.0
139481,0.0,0.0,0.0
139581,0.0,0.0,0.0
139681,0.0,0.0,0.0
139781,0.0,0.0,0.0
139881,0.0,0.0,0.0
139981,0.0,0.0,0.0
140081,0.0,0.0,0.0
140181,0.0,0.0,0.0
140281,0.0,0.0,0.0
140381,0.0,0.0,0.0
140481,0.0,0.0,0.0
140581,0.0,0.0,0.0
140681,0.0,0.0,0.0
140781,0.0,0.0,0.0
140881,0.0,0.0,0.0
140981,0.0,0.0,0.0
141081,0.0,0.0,0.0
141181,0.0,0.0,0.0
141281,0.0,0.0,0.0
141381,0.0,0.0,0.0
141481,0.0,0.0,0.0
141581,0.0,0.0,0.0
141681,0.0,0.0,0.0
141782,0.0,0.0,0.0
141881,0.0,0.0,0.0
141981,0.0,0.0,0.0
142081,0.0,0.0,0.0
142181,0.0,0.0,0.0
142281,0.0,0.0,0.0
142381,0.0,0.0,0.0
142481,0.0,0.0,0.0
142581,0.0,0.0,0.0
142681,0.0,0.0,0.0
142781,0.0,0.0,0.0
142881,0.0,0.0,0.0
142981,0.0,0.0,0.0
143081,0.0,0.0,0.0
143181,0.0,0.0,0.0
143281,0.0,0.0,0.0
143384,0.0,0.0,0.0
143484,0.0,0.0,0.0
143584,0.0,0.0,0.0
143684,0.0,0.0,0.0
143784,0.0,0.0,0.0
143884,0.0,0.0,0.0
143983,0.0,0.0,0.0
144081,0.0,0.0,0.0
144181,0.0,0.0,0.0
144282,0.0,0.0,0.0
144382,0.0,0.0,0.0
144482,0.0,0.0,0.0
144582,0.0,0.0,0.0
144682,0.0,0.0,0.0
144781,0.0,0.0,0.0
144881,0.0,0.0,0.0
144981,0.0,0.0,0.0
145081,0.0,0.0,0.0
145181,0.0,0.0,0.0
145281,0.0,0.0,0.0
145381,0.0,0.0,0.0
145481,0.0,0.0,0.0
145581,0.0,0.0,0.0
145681,0.0,0.0,0.0
145781,0.0,0.0,0.0
145881,0.0,0.0,0.0
