timestamp,lighthouse.angle0x_0lh2,lighthouse.angle0y_0lh2,lighthouse.angle1x_0lh2,lighthouse.angle1y_0lh2,lighthouse.serRt,lighthouse.frmRt
131448,0.7777369618415833,0.1119549423456192,0.4961773455142975,-0.7969565987586975,801.7245483398438,799.7413330078125
131548,0.7776828408241272,0.11193038523197174,0.4961550235748291,-0.797025740146637,801.7245483398438,799.7413330078125
131648,0.7776800990104675,0.11197194457054138,0.4961550235748291,-0.797025740146637,801.7245483398438,799.7413330078125
131748,0.7777369618415833,0.1119549423456192,0.4961550235748291,-0.797025740146637,801.7245483398438,799.7413330078125
131848,0.7777369618415833,0.1119549423456192,0.4961773455142975,-0.7969565987586975,801.7245483398438,799.7413330078125
131948,0.7777369618415833,0.1119549423456192,0.49612945318222046,-0.7968958020210266,801.7245483398438,799.7413330078125
132048,0.7776846885681152,0.11190250515937805,0.49615949392318726,-0.7969122529029846,801.7245483398438,799.7413330078125
132148,0.7777379155158997,0.11194127798080444,0.4961906671524048,-0.7969434857368469,801.7245483398438,799.7413330078125
132248,0.7776551246643066,0.11193200945854187,0.4961644411087036,-0.7969697713851929,801.7245483398438,799.7413330078125
132348,0.7776855230331421,0.11188879609107971,0.4961632192134857,-0.7969554662704468,801.7245483398438,799.7413330078125
132448,0.7776828408241272,0.11193038523197174,0.4961632192134857,-0.7969554662704468,801.7245483398438,799.7413330078125
132548,0.7776809930801392,0.11195831000804901,0.4961632192134857,-0.7969554662704468,798.1818237304688,795.4545288085938
132648,0.7776809930801392,0.11195831000804901,0.4957893192768097,-0.7967670559883118,798.1818237304688,795.4545288085938
132748,0.7776809930801392,0.11195831000804901,0.4950856566429138,-0.796394407749176,798.1818237304688,795.4545288085938
132848,0.7773676514625549,0.1124906986951828,0.49413543939590454,-0.7966398000717163,798.1818237304688,795.4545288085938
132948,0.7778673768043518,0.11508394777774811,0.4912105202674866,-0.7965178489685059,798.1818237304688,795.4545288085938
133048,0.777901291847229,0.12397685647010803,0.48448365926742554,-0.792538583278656,798.1818237304688,795.4545288085938
133148,0.7779468894004822,0.13959722220897675,0.4775318503379822,-0.7868577837944031,798.1818237304688,795.4545288085938
133248,0.7782083749771118,0.15970878303050995,0.4661076068878174,-0.775723934173584,798.1818237304688,795.4545288085938
133348,0.779180109500885,0.18710564076900482,0.45821160078048706,-0.7678620219230652,798.1818237304688,795.4545288085938
133452,0.7802540063858032,0.20956692099571228,0.444938063621521,-0.7569419741630554,798.1818237304688,795.4545288085938
133551,0.7813404202461243,0.22930610179901123,0.43346652388572693,-0.7498661279678345,804.5862426757812,802.5922241210938
133650,0.7818450331687927,0.24511224031448364,0.42191600799560547,-0.7439276576042175,804.5862426757812,802.5922241210938
133750,0.7810642123222351,0.25664040446281433,0.40965402126312256,-0.7378047704696655,804.5862426757812,802.5922241210938
133849,0.7788019776344299,0.2643328309059143,0.3996385335922241,-0.7324764728546143,804.5862426757812,802.5922241210938
133949,0.7749889492988586,0.26838815212249756,0.3996385335922241,-0.7324764728546143,804.5862426757812,802.5922241210938
134049,0.770513117313385,0.26882582902908325,0.3996385335922241,-0.7324764728546143,804.5862426757812,802.5922241210938
134148,0.7686591148376465,0.2682400047779083,0.3996385335922241,-0.7324764728546143,804.5862426757812,802.5922241210938
134248,0.7686591148376465,0.2682400047779083,0.3565758466720581,-0.7103221416473389,804.5862426757812,802.5922241210938
134348,0.7686591148376465,0.2682400047779083,0.35055291652679443,-0.7010626792907715,804.5862426757812,802.5922241210938
134448,0.7483847141265869,0.26080483198165894,0.35055291652679443,-0.7010626792907715,804.5862426757812,802.5922241210938
134548,0.7399837970733643,0.25734013319015503,0.3316044807434082,-0.6760052442550659,804.5862426757812,802.5922241210938
134648,0.733180820941925,0.255001962184906,0.32717132568359375,-0.6725772023200989,797.6298828125,795.8067626953125
134748,0.7299036979675293,0.25406795740127563,0.30955350399017334,-0.6675347089767456,797.6298828125,795.8067626953125
134848,0.7301036715507507,0.25353068113327026,0.29849445819854736,-0.6706503629684448,797.6298828125,795.8067626953125
134948,0.7329829931259155,0.25192636251449585,0.29849445819854736,-0.6706503629684448,797.6298828125,795.8067626953125
135048,0.7374069094657898,0.24783781170845032,0.26184988021850586,-0.7033206820487976,797.6298828125,795.8067626953125
135148,0.7413045763969421,0.24150893092155457,0.2442242056131363,-0.7209213376045227,797.6298828125,795.8067626953125
135248,0.7413293719291687,0.23400267958641052,0.22116725146770477,-0.7344313859939575,797.6298828125,795.8067626953125
135348,0.7365956902503967,0.22434645891189575,0.19219306111335754,-0.7420589327812195,797.6298828125,795.8067626953125
135448,0.727716326713562,0.21074573695659637,0.1591935157775879,-0.7457629442214966,797.6298828125,795.8067626953125
135548,0.7156798243522644,0.19252288341522217,0.12420617789030075,-0.7480813264846802,797.6298828125,795.8067626953125
135648,0.7021214962005615,0.17021794617176056,0.08876633644104004,-0.7511950731277466,797.6298828125,795.8067626953125
135748,0.6882908940315247,0.14432694017887115,0.05255531892180443,-0.7570788264274597,805.4545288085938,803.6363525390625
135848,0.6751180291175842,0.11601234972476959,0.015776123851537704,-0.7657140493392944,805.4545288085938,803.6363525390625
135948,0.6629499793052673,0.08595982939004898,-0.021851293742656708,-0.7773984670639038,805.4545288085938,803.6363525390625
136048,0.6518688201904297,0.054674580693244934,-0.06029719114303589,-0.7909584641456604,805.4545288085938,803.6363525390625
136148,0.6413783431053162,0.02211497724056244,-0.09166626632213593,-0.8030112981796265,805.4545288085938,803.6363525390625
