timestamp,posEstAlt.estimatedZ,posEstAlt.estVZ,posEstAlt.velocityZ
230135,0.0,0.0,0.0
230235,0.0,0.0,0.0
230335,0.0,0.0,0.0
230435,0.0,0.0,0.0
230535,0.0,0.0,0.0
230635,0.0,0.0,0.0
230735,0.0,0.0,0.0
230835,0.0,0.0,0.0
230937,0.0,0.0,0.0
231037,0.0,0.0,0.0
231135,0.0,0.0,0.0
231237,0.0,0.0,0.0
231337,0.0,0.0,0.0
231435,0.0,0.0,0.0
231537,0.0,0.0,0.0
231635,0.0,0.0,0.0
231737,0.0,0.0,0.0
231837,0.0,0.0,0.0
231937,0.0,0.0,0.0
232037,0.0,0.0,0.0
232137,0.0,0.0,0.0
232237,0.0,0.0,0.0
232335,0.0,0.0,0.0
232435,0.0,0.0,0.0
232535,0.0,0.0,0.0
232635,0.0,0.0,0.0
232735,0.0,0.0,0.0
232835,0.0,0.0,0.0
232936,0.0,0.0,0.0
233036,0.0,0.0,0.0
233136,0.0,0.0,0.0
233236,0.0,0.0,0.0
233336,0.0,0.0,0.0
233436,0.0,0.0,0.0
233536,0.0,0.0,0.0
233636,0.0,0.0,0.0
233736,0.0,0.0,0.0
233836,0.0,0.0,0.0
233936,0.0,0.0,0.0
234035,0.0,0.0,0.0
234136,0.0,0.0,0.0
234236,0.0,0.0,0.0
234336,0.0,0.0,0.0
234435,0.0,0.0,0.0
234535,0.0,0.0,0.0
234635,0.0,0.0,0.0
234735,0.0,0.0,0.0
234835,0.0,0.0,0.0
234935,0.0,0.0,0.0
235035,0.0,0.0,0.0
235135,0.0,0.0,0.0
235235,0.0,0.0,0.0
235335,0.0,0.0,0.0
235435,0.0,0.0,0.0
235536,0.0,0.0,0.0
235635,0.0,0.0,0.0
235736,0.0,0.0,0.0
235835,0.0,0.0,0.0
235936,0.0,0.0,0.0
236035,0.0,0.0,0.0
236136,0.0,0.0,0.0
236236,0.0,0.0,0.0
236336,0.0,0.0,0.0
236436,0.0,0.0,0.0
236536,0.0,0.0,0.0
236636,0.0,0.0,0.0
236736,0.0,0.0,0.0
236836,0.0,0.0,0.0
236935,0.0,0.0,0.0
237035,0.0,0.0,0.0
237136,0.0,0.0,0.0
237236,0.0,0.0,0.0
237335,0.0,0.0,0.0
237435,0.0,0.0,0.0
237535,0.0,0.0,0.0
237635,0.0,0.0,0.0
237735,0.0,0.0,0.0
237835,0.0,0.0,0.0
237935,0.0,0.0,0.0
238035,0.0,0.0,0.0
238135,0.0,0.0,0.0
238235,0.0,0.0,0.0
238335,0.0,0.0,0.0
238435,0.0,0.0,0.0
238535,0.0,0.0,0.0
238635,0.0,0.0,0.0
238735,0.0,0.0,0.0
238835,0.0,0.0,0.0
238935,0.0,0.0,0.0
239035,0.0,0.0,0.0
239135,0.0,0.0,0.0
239235,0.0,0.0,0.0
239335,0.0,0.0,0.0
239435,0.0,0.0,0.0
239535,0.0,0.0,0.0
239637,0.0,0.0,0.0
239735,0.0,0.0,0.0
239836,0.0,0.0,0.0
239936,0.0,0.0,0.0
240035,0.0,0.0,0.0
240135,0.0,0.0,0.0
240235,0.0,0.0,0.0
240335,0.0,0.0,0.0
